id,name,ac_id,ac_name,pc_id,pc_name,district
166,"Shanthi Nagar",163,"Shanti Nagar",25,"Bangalore Central"
167,"Ashok Nagar",163,"Shanti Nagar",25,"Bangalore Central"
168,Nilasandra,163,"Shanti Nagar",25,"Bangalore Central"
169,Vannarpet,163,"Shanti Nagar",25,"Bangalore Central"
17,Chikkasandra,155,Dasarahalli,24,"Bangalore North",Bangalore Urban
170,Jogupalya,163,"Shanti Nagar",25,"Bangalore Central"
171,Domlur,163,"Shanti Nagar",25,"Bangalore Central"
172,Agaram,163,"Shanti Nagar",25,"Bangalore Central"
173,Ejipura,172,"B.T.M. Layout",26,"Bangalore South"
174,Koramangala,172,"B.T.M. Layout",26,"Bangalore South"
175,Jakkasandra,172,"B.T.M. Layout",26,"Bangalore South"
176,Adugodi,172,"B.T.M. Layout",26,"Bangalore South"
177,Lakkasandra,172,"B.T.M. Layout",26,"Bangalore South"
178,"Suddagunte Palya",172,"B.T.M. Layout",26,"Bangalore South"
179,Madivala,172,"B.T.M. Layout",26,"Bangalore South"
18,Bagalakunte,155,Dasarahalli,24,"Bangalore North",Bangalore Urban
180,"Someswara Temple Ward",172,"B.T.M. Layout",26,"Bangalore South"
181,"BTM Layout",172,"B.T.M. Layout",26,"Bangalore South"
182,Byrasandra,173,Jayanagar,26,"Bangalore South"
183,Gurappanapalya,173,Jayanagar,26,"Bangalore South"
184,"Jayanagar East",173,Jayanagar,26,"Bangalore South"
185,"J P Nagar",173,Jayanagar,26,"Bangalore South"
186,"Shakambari Nagar",173,Jayanagar,26,"Bangalore South"
187,Sarakki,173,Jayanagar,26,"Bangalore South"
188,Yediyur,171,"Padmanaba Nagar",26,"Bangalore South"
189,"Ganesh Mandir ward",171,"Padmanaba Nagar",26,"Bangalore South"
19,"T Dasarahalli",155,Dasarahalli,24,"Bangalore North",Bangalore Urban
190,"Devagiri Temple Ward",171,"Padmanaba Nagar",26,"Bangalore South"
191,"Banashankari Temple ward",171,"Padmanaba Nagar",26,"Bangalore South"
192,"Kumaraswamy Layout",171,"Padmanaba Nagar",26,"Bangalore South"
193,"Padmanabha Nagar",171,"Padmanaba Nagar",26,"Bangalore South"
194,Chikkalsandra,171,"Padmanaba Nagar",26,"Bangalore South"
195,Hosakerehalli,171,"Padmanaba Nagar",26,"Bangalore South"
196,"Gavi Gangadhareshwara",170,Basavanagudi,26,"Bangalore South"
197,Srinagar,170,Basavanagudi,26,"Bangalore South"
198,"Dodda Ganapati",170,Basavanagudi,26,"Bangalore South"
199,"Vidyapeeta ward",170,Basavanagudi,26,"Bangalore South"
2,"Chowdeswari Ward",150,Yelahanka,27,Chikballapur,Bangalore Urban
20,Nalagadarenahalli,155,Dasarahalli,24,"Bangalore North",Bangalore Urban
200,"Swamy Vivekananda",170,Basavanagudi,26,"Bangalore South"
201,Katriguppe,170,Basavanagudi,26,"Bangalore South"
202,Uttarahalli,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
203,Subrahmanyapura,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
204,Vasanthpura,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
205,Yelchenahalli,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
206,Konanakunte,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
207,"RBI layout",176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
208,Anjanapura,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
209,Gottigere,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
21,Chokkasandra,155,Dasarahalli,24,"Bangalore North",Bangalore Urban
210,"Kalena Agrahara",176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
211,Begur,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
212,Naganathapura,176,"Bangalore South",23,"Bangalore Rural",Bangalore Urban
213,Jaraganahalli,175,Bommanahalli,26,"Bangalore South"
214,Puttenahalli,175,Bommanahalli,26,"Bangalore South"
215,Bilekhalli,175,Bommanahalli,26,"Bangalore South"
216,Hulimavu,175,Bommanahalli,26,"Bangalore South"
217,Kodichikkanahalli,175,Bommanahalli,26,"Bangalore South"
218,Bommanahalli,175,Bommanahalli,26,"Bangalore South"
219,Hongasandra,175,Bommanahalli,26,"Bangalore South"
22,"Peenya Industrial Area",155,Dasarahalli,24,"Bangalore North",Bangalore Urban
220,Gharebhavipalya,175,Bommanahalli,26,"Bangalore South"
221,"HSR Layout",175,Bommanahalli,26,"Bangalore South"
222,Ibluru,175,Bommanahalli,26,"Bangalore South"
223,Mangammanapalya,175,Bommanahalli,26,"Bangalore South"
224,"Hosa Road",175,Bommanahalli,26,"Bangalore South"
225,Kudlu,177,"Anekal",23,"Bangalore Rural",Bangalore Urban
23,"Rajagopal Nagar",155,Dasarahalli,24,"Bangalore North",Bangalore Urban
24,Hegganahalli,155,Dasarahalli,24,"Bangalore North",Bangalore Urban
